iter	Passed	Remaining
650	9339	5006
651	9359	4995
652	9377	4983
653	9395	4970
654	9412	4957
655	9429	4944
656	9453	4935
657	9470	4922
658	9486	4908
659	9502	4895
660	9519	4882
661	9533	4867
662	9547	4853
663	9563	4839
664	9579	4825
665	9595	4812
666	9613	4799
667	9630	4786
668	9645	4772
669	9661	4758
670	9678	4745
671	9694	4731
672	9712	4718
673	9731	4706
674	9747	4693
675	9763	4679
676	9776	4664
677	9790	4649
678	9806	4636
679	9823	4622
680	9839	4608
681	9854	4594
682	9867	4579
683	9884	4566
684	9905	4555
685	9926	4543
686	9949	4533
687	9966	4519
688	9979	4504
689	9992	4489
690	10005	4474
691	10020	4459
692	10033	4444
693	10046	4429
694	10059	4414
695	10072	4399
696	10084	4383
697	10097	4368
698	10109	4353
699	10123	4338
700	10136	4323
701	10150	4308
702	10164	4294
703	10177	4279
704	10192	4265
705	10207	4250
706	10220	4235
707	10235	4221
708	10249	4206
709	10261	4191
710	10274	4176
711	10287	4161
712	10301	4146
713	10315	4131
714	10330	4117
715	10345	4103
716	10361	4089
717	10374	4074
718	10387	4059
719	10407	4047
720	10423	4033
721	10437	4018
722	10452	4004
723	10466	3989
724	10480	3975
725	10493	3960
726	10505	3944
727	10518	3930
728	10531	3915
729	10544	3899
730	10556	3884
731	10568	3869
732	10580	3854
733	10596	3840
734	10609	3825
735	10622	3810
736	10635	3795
737	10649	3780
738	10665	3766
739	10682	3753
740	10696	3738
741	10711	3724
742	10725	3710
743	10740	3695
744	10754	3681
745	10769	3666
746	10785	3652
747	10801	3638
748	10815	3624
749	10830	3610
750	10845	3595
751	10859	3581
752	10875	3567
753	10891	3553
754	10906	3539
755	10922	3525
756	10938	3511
757	10954	3497
758	10971	3483
759	10995	3472
760	11017	3460
761	11040	3448
762	11056	3434
763	11071	3419
764	11085	3405
765	11101	3391
766	11116	3377
767	11130	3362
768	11144	3347
769	11159	3333
770	11176	3319
771	11195	3306
772	11210	3292
773	11227	3278
774	11241	3263
775	11255	3249
776	11277	3236
777	11295	3223
778	11310	3208
779	11327	3195
780	11342	3180
781	11356	3165
782	11369	3151
783	11383	3136
784	11396	3121
785	11408	3106
786	11421	3091
787	11433	3076
788	11445	3060
789	11458	3045
790	11471	3031
791	11485	3016
792	11499	3001
793	11515	2987
794	11533	2973
795	11549	2959
796	11563	2945
797	11576	2930
798	11589	2915
799	11603	2900
800	11616	2886
801	11630	2871
802	11643	2856
803	11656	2841
804	11669	2826
805	11682	2811
806	11695	2796
807	11708	2782
808	11722	2767
809	11737	2753
810	11752	2738
811	11768	2724
812	11784	2710
813	11797	2695
814	11810	2680
815	11823	2666
816	11835	2651
817	11849	2636
818	11863	2621
819	11878	2607
820	11892	2592
821	11904	2577
822	11917	2562
823	11930	2548
824	11945	2533
825	11960	2519
826	11974	2504
827	11989	2490
828	12006	2476
829	12022	2462
830	12038	2448
831	12057	2434
832	12080	2421
833	12106	2409
834	12130	2397
835	12146	2382
836	12161	2368
837	12176	2353
838	12191	2339
839	12207	2325
840	12222	2310
841	12238	2296
842	12254	2282
843	12270	2268
844	12287	2253
845	12303	2239
846	12319	2225
847	12334	2210
848	12352	2196
849	12368	2182
850	12384	2168
851	12402	2154
852	12417	2139
853	12436	2126
854	12451	2111
855	12470	2097
856	12488	2083
857	12501	2069
858	12515	2054
859	12530	2039
860	12543	2025
861	12564	2011
862	12582	1997
863	12598	1983
864	12617	1969
865	12634	1954
866	12649	1940
867	12662	1925
868	12674	1910
869	12687	1895
870	12699	1880
871	12712	1866
872	12725	1851
873	12738	1836
874	12751	1821
875	12763	1806
876	12776	1791
877	12788	1777
878	12802	1762
879	12818	1748
880	12833	1733
881	12847	1718
882	12861	1704
883	12876	1689
884	12888	1674
885	12901	1659
886	12914	1645
887	12927	1630
888	12939	1615
889	12952	1600
890	12965	1586
891	12978	1571
892	12990	1556
893	13002	1541
894	13017	1527
895	13033	1512
896	13046	1498
897	13060	1483
898	13076	1469
899	13090	1454
900	13105	1439
901	13121	1425
902	13136	1411
903	13171	1398
904	13194	1385
905	13214	1371
906	13232	1356
907	13248	1342
908	13262	1327
909	13277	1313
910	13291	1298
911	13308	1284
912	13325	1269
913	13340	1255
914	13357	1240
915	13370	1226
916	13384	1211
917	13400	1197
918	13414	1182
919	13429	1167
920	13443	1153
921	13456	1138
922	13474	1124
923	13488	1109
924	13503	1094
925	13519	1080
926	13538	1066
927	13557	1051
928	13573	1037
929	13587	1022
930	13600	1008
931	13612	993
932	13625	978
933	13638	963
934	13654	949
935	13669	934
936	13683	919
937	13695	905
938	13708	890
939	13724	876
940	13737	861
941	13751	846
942	13764	832
943	13777	817
944	13790	802
945	13803	787
946	13816	773
947	13828	758
948	13841	743
949	13855	729
950	13867	714
951	13882	699
952	13898	685
953	13912	670
954	13924	656
955	13938	641
956	13951	626
957	13965	612
958	13981	597
959	13993	583
960	14006	568
961	14019	553
962	14031	539
963	14044	524
964	14061	509
965	14072	495
966	14086	480
967	14101	466
968	14114	451
969	14128	436
970	14141	422
971	14155	407
972	14167	393
973	14181	378
974	14194	363
975	14208	349
976	14230	335
977	14246	320
978	14266	306
979	14286	291
980	14307	277
981	14326	262
982	14341	248
983	14359	233
984	14376	218
985	14393	204
986	14406	189
987	14421	175
988	14436	160
989	14451	145
990	14465	131
991	14480	116
992	14495	102
993	14511	87
994	14526	72
995	14541	58
996	14557	43
997	14572	29
998	14588	14
999	14602	0
